content__235ca,username__703b9,anchor_edefb8,anchor_edefb8 (2),timestamp_c19a55,separator_c19a55,avatar_c19a55 src,username_c19a55,roleIcon__1e6f1 src,markup__75297,markup__75297 (2),markup__75297 (3),markup__75297 (4),latin24CompactTimeStamp_c19a55,separator_c19a55 (2),mention,botText__82f07,markup__75297 (5),markup__75297 (6),markup__75297 (7),markup__75297 (8),anchor_edefb8 href,anchor_edefb8 (3),embedProvider__623de,anchor_edefb8 href (2),embedDescription__623de,originalLink_af017a href,loadingOverlay_af017a src,emoji src,edited_c19a55,emoji src (2),reactionCount__23977,replyAvatar_c19a55 src,repliedTextContent_c19a55,repliedTextContent_c19a55 (2),repliedTextContent_c19a55 (3),username_c19a55 (2),avatarDecoration_c19a55 src,reactionCount__23977 (2),markup__75297 (9),markup__75297 (10),markup__75297 (14),markup__75297 (15),markup__75297 (16),markup__75297 (17),embedDescription__623de (2),embedDescription__623de (3),embedDescription__623de (4),embedDescription__623de (5),embedDescription__623de (6),embedDescription__623de (7),embedDescription__623de (8),embedDescription__623de (9),embedDescription__623de (10),embedDescription__623de (11),embedDescription__623de (12),embedDescription__623de (13),embedDescription__623de (14),embedDescription__623de (15),embedFieldName__623de,embedFieldValue__623de,embedFieldValue__623de (2),embedFieldValue__623de (3),embedFieldValue__623de (4),embedFieldName__623de (2),embedFieldValue__623de (5),video_cf09d8 src,repliedTextContent_c19a55 (4),repliedTextContent_c19a55 (5),repliedTextContent_c19a55 (6),embedDescription__623de (16),embedDescription__623de (17),embedDescription__623de (18),anchor_edefb8 href (3),anchor_edefb8 (4),embedVideoImageComponentInner__623de src,anchor_edefb8 href (5),repliedTextContent_c19a55 (7),repliedTextContent_c19a55 (8),repliedTextContent_c19a55 (9),embedFieldName__623de (3),embedFieldValue__623de (6),lazyImg_f4758a src,embedAuthorIcon__623de src,embedFooterIcon__623de src,embedFooterText__623de,embedFooterSeparator__623de,emoji src (3),markup__75297 (18),markup__75297 (19),markup__75297 (20),markup__75297 (21),markup__75297 (22),markup__75297 (23),markup__75297 (24),markup__75297 (25),anchor_edefb8 (5),reactionCount__23977 (3),embedDescription__623de (19),embedDescription__623de (20),embedDescription__623de (21),embedDescription__623de (22),embedVideo__623de src,anchor_edefb8 (6),anchor_edefb8 (7),anchor_edefb8 (8),edited_c19a55 (2),pngImage__31fc2 src,embedDescription__623de (23),repliedTextContent_c19a55 (10),embedDescription__623de (24),embedDescription__623de (25),embedDescription__623de (26),embedDescription__623de (27),embedDescription__623de (28),anchor_edefb8 href (6),originalLink_af017a href (2),repliedTextPlaceholder_c19a55,emoji src (4),emoji src (5),embedDescription__623de (29),embedDescription__623de (30),embedDescription__623de (31),embedDescription__623de (32),embedDescription__623de (33),embedDescription__623de (34),embedDescription__623de (35),embedDescription__623de (36),embedDescription__623de (37),embedDescription__623de (39),embedDescription__623de (40),embedDescription__623de (41),embedDescription__623de (42),embedDescription__623de (43),embedDescription__623de (44),embedDescription__623de (48),embedDescription__623de (59),embedDescription__623de (60),embedDescription__623de (61),embedDescription__623de (63),mention (2),imageError_af017a src,reactionCount__23977 (4),embedFieldValue__623de (7),embedFieldValue__623de (8),embedDescription__623de (64)
,,Steam,,"— 
7/6/23, 12:07 PM",—,https://cdn.discordapp.com/avatars/366412700810608641/bc96c8332e3d798c0f888630c9997ea4.webp?size=160,amazinamanda,https://cdn.discordapp.com/role-icons/409396029029613569/8597ae2213225c47dcbadebce074c004.webp?size=40&quality=lossless,Cute game where u design stickers and it will have twitch integration so u can make stickers for chat,!,,,,,,,,,,,https://store.steampowered.com/app/2303350/Sticky_Business/,https://store.steampowered.com/app/2303350/Sticky_Business/,,https://store.steampowered.com/app/2303350/Sticky_Business/,,,,,,,,,,,,,,,,,,,,,Create,", pack and sell your own unique sticker creations",! You want a collection of cat stickers,? A witch,-themed shop,? Or add a derpy face to all of your creations,? Combine dozens of elements to create your own collection and sell them to like,-minded people,. Different stickers attract different customers,! You can add some sparkles or holo effects,.,.,.,,Release Date,Jul 17,", 2023",,,,,https://images-ext-1.discordapp.net/external/YH0umstvusySaGeNUdVvEFbgEoYKxkWbeGZX3omH_qI/%3Ft%3D1686298980/https/cdn.akamai.steamstatic.com/steam/apps/256950464/movie_max_vp9.webm,,,,,,,https://store.steampowered.com/,,,,,,,,,,,,,,,,,,,,,,,Sticky Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Steam,,"— 
7/6/23, 4:11 PM",—,https://cdn.discordapp.com/avatars/104007474998185984/a_295a497606f75a74464074dc0248c506.webp?size=160,Milk_Pillow,,Really fun game if you like Rouge Lites,,,,,,,,,,,,https://store.steampowered.com/app/1566200/Tape_to_Tape/,https://store.steampowered.com/app/1566200/Tape_to_Tape/,,https://store.steampowered.com/app/1566200/Tape_to_Tape/,,,,,,,,,,,,,https://cdn.discordapp.com/avatar-decoration-presets/a_fed43ab12698df65902ba06727e20c0e.png?size=240&passthrough=false,,,,,,,,Explore a gorgeous roguelite hockey world where every choice matters on your journey to restore hockey to its former glory,. Hire unique players,", manage your benchwarmers",", discover synergies between them",", choose new abilities",", bribe the referees",", visit the Blademaster for upgrades and a lot more",.CRAFT YOUR TEAMTake charge of a ragtag group of hoc,.,.,.,,,,Price,$,1,7,0.99,Recommendations,1381,https://images-ext-1.discordapp.net/external/EV4PNtBbUQ7-7b-exE5jMOw3G72Ho_oMj3oEVHLg-5Q/%3Ft%3D1681314779/https/cdn.akamai.steamstatic.com/steam/apps/256940828/movie_max_vp9.webm,,,,,,,https://store.steampowered.com/,,,,,,,,,,,,,,,,,,,,,,,Tape to Tape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Steam,,"— 
7/8/23, 3:27 PM",—,https://cdn.discordapp.com/avatars/185096587696013313/43246616684428ac3dc7df2ad49a4526.webp?size=160,Mr. Bungle,https://cdn.discordapp.com/role-icons/419956543254167572/4aaf2ea5eccaca8e582a8e67e79b2b5d.webp?size=40&quality=lossless,fuk that train game play this train game,,,,,,,,,,,,https://store.steampowered.com/app/588030/Derail_Valley/,https://store.steampowered.com/app/588030/Derail_Valley/,,https://store.steampowered.com/app/588030/Derail_Valley/,,,,,,,,,,,,,,,,,,,,,Drive massive trains through beautiful,", challenging natural environments",. Make deliveries of cargo between industries spread across an open world,. Earn money,", buy new licenses and advance your career as a train engineer",", all in a seamless",", emergent playthrough",.Walk anywhere or drive a train in a 256 km2 world,", covered in rich vegetation",", mountai",.,.,.,,Price,$,3,9,0.99,Recommendations,3346,https://images-ext-1.discordapp.net/external/3esxPvmgrg4WF1J_0KNxS_f3LWWtWbF50S_l5o44cjw/%3Ft%3D1688184177/https/cdn.akamai.steamstatic.com/steam/apps/256955881/movie_max_vp9.webm,,,,,,,https://store.steampowered.com/,,,,,,,,,,,,,,,,,,,,,,,Derail Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Steam,,"— 
7/11/23, 6:22 PM",—,https://cdn.discordapp.com/avatars/92996304455606272/c3bf14c9471096e79de7aa6a2f330e55.webp?size=160,Tempestras,https://cdn.discordapp.com/role-icons/409396029029613569/8597ae2213225c47dcbadebce074c004.webp?size=40&quality=lossless,topdown terraria,,,,,,,,,,,,https://store.steampowered.com/app/1169040/Necesse/,https://store.steampowered.com/app/1169040/Necesse/,,https://store.steampowered.com/app/1169040/Necesse/,,,,,,,,,,,,,,,,,,,,,Begin your conquest of the infinite procedurally generated world of Necesse,. Establish a settlement and lead adventures to other islands with unique biomes,", monsters",", resources",", and recruitable settlers with particular skills",. Mine,", craft",", and upgrade your gear and settlement",", and prepare both to defend your city against raids and lead your own",.,.,.,,,Price,$,6,0.69,6688,Recommendations,,https://images-ext-1.discordapp.net/external/teY5TOstgefXP3_aPnYpmiL2GYVjP_5y8NvBQgGjaE8/%3Ft%3D1640022442/https/cdn.akamai.steamstatic.com/steam/apps/256865178/movie_max_vp9.webm,,,,,,,https://store.steampowered.com/,,,,,,,,,,,,,,,,,,,,,,,Necesse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Steam,,"— 
7/13/23, 12:32 PM",—,https://cdn.discordapp.com/avatars/160532146228822016/da55eff7e3a77c63f405a09b137bef27.webp?size=160,ImjustKG,https://cdn.discordapp.com/role-icons/409396029029613569/8597ae2213225c47dcbadebce074c004.webp?size=40&quality=lossless,I played the beta of this one and it was alot of fun,", and from what i could see from a streamer playing this earlier today they have really fleshed the game out",! So if you like the bullethell,/autoshooter or what the genre is called then this is a cool one,,,,,^,^,,,https://store.steampowered.com/app/2163330/Yet_Another_Zombie_Survivors/,https://store.steampowered.com/app/2163330/Yet_Another_Zombie_Survivors/,,https://store.steampowered.com/app/2163330/Yet_Another_Zombie_Survivors/,,,,,,,,,,,,,,,,,,,,,You,ve had enough of hiding behind the barricades,. Now it,s time to let the zombie horde pay for their unholy existence,. The virus has spread throughout the world,", but humanity is far from giving up",.Forget about things like complicated controls or hour,-long cutscenes — jump right into the fray and watch the fireworks,! It,s a game that everyone w,.,.,.,,Price,$,7,0.8,,,,https://images-ext-1.discordapp.net/external/KMc19tzfi3MQpQmskc6mNh5SsdK7LpgQNIGCZt9cIfM/%3Ft%3D1689267694/https/cdn.akamai.steamstatic.com/steam/apps/256955946/movie_max_vp9.webm,,,,,,,https://store.steampowered.com/,,,,,,,,,,,,,,,,,,,,,,,Yet Another Zombie Survivors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Steam,,"— 
7/14/23, 6:07 PM",—,https://cdn.discordapp.com/avatars/661398472133443585/66dd2cbeecf801875dc7ad44e185ff7b.webp?size=160,iHateuChat,https://cdn.discordapp.com/role-icons/419956543254167572/4aaf2ea5eccaca8e582a8e67e79b2b5d.webp?size=40&quality=lossless,Multiplayer thief like sim looks way to funny it,s vr and non vr also no idea why the trailer is only in vr,,,,,,,,,,,https://store.steampowered.com/app/1397390/The_BreakIn/,https://store.steampowered.com/app/1397390/The_BreakIn/,,https://store.steampowered.com/app/1397390/The_BreakIn/,,,,,,,,,,,,,https://cdn.discordapp.com/avatar-decoration-presets/a_41445f736db3525135b6b9e1122f2254.png?size=240&passthrough=false,,,,,,,,The Break,-In is a 4 player online co,-op burglary game about sneaking into houses,", museums",", and bank vaults to steal everything that isn",t bolted down,.,(And maybe some of the things which are bolted down,)If you can get it into your van,", you can sell it for a profit",. And you can use the money you make to purchase new thief equipment,", to help you t",.,.,Release Date,Jul 17,", 2023",,,,,https://images-ext-1.discordapp.net/external/is-yjebLx_Ul2a7GDPfriI3MmoCEFdDkqvqExxxWV0Y/%3Ft%3D1648041172/https/cdn.akamai.steamstatic.com/steam/apps/256841902/movie_max_vp9.webm,,,,.,,,https://store.steampowered.com/,,,,,,,,,,,,,,,,,,,,,,,The Break,,,,,,,-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Steam,,"— 
7/18/23, 9:17 PM",—,https://cdn.discordapp.com/avatars/238303065193709569/8cc1e2f5c8e5f9dc32f436d9052cc06a.webp?size=160,Lighthawk,https://cdn.discordapp.com/role-icons/419956543254167572/4aaf2ea5eccaca8e582a8e67e79b2b5d.webp?size=40&quality=lossless,,,,,,,,,,,,,https://store.steampowered.com/app/1574260/?snr=1_5_9__205,https://store.steampowered.com/app/1574260/?snr=1_5_9__205,,https://store.steampowered.com/app/1574260/?snr=1_5_9__205,,,,https://cdn.discordapp.com/emojis/921960559719628800.webp?size=80,,,1,,,,,,https://cdn.discordapp.com/avatar-decoration-presets/a_f3af281c65cf0cf590e9e1f59e9c6cf6.png?size=240&passthrough=false,,,,,,,,CHECK OUT MORE NEW,H,O,R,R,O,R,is amiss with everyone,s favorite Saturday morning puppet show,! For years,", the colorful cast of The Friendly Neighborhood delighted audiences across the globe with their cooky capers and educational adventures",. However,", as time went on and interes",.,Price,$,2,6,0.99,,,https://images-ext-1.discordapp.net/external/mcm6KYwDAiY_MRed5R5OGKO0CPDwpOu5qcLEpikgcl0/%3Ft%3D1689681030/https/cdn.akamai.steamstatic.com/steam/apps/256958664/movie_max_vp9.webm,,,,.,.,,https://store.steampowered.com/,,,https://store.steampowered.com/app/2166060/Amanda_the_Adventurer/Something,,,,,,,,,,,,,,,,,,,,My Friendly Neighborhood,,,,,,,https://store.steampowered.com/app/2166060/Amanda_the_Adventurer/Something,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Steam,,"— 
7/19/23, 2:04 PM",—,https://cdn.discordapp.com/avatars/554081667942318090/a72a7fb6d42efbe0ae0528ad6b2239e0.webp?size=160,discozombi,https://cdn.discordapp.com/role-icons/419956543254167572/4aaf2ea5eccaca8e582a8e67e79b2b5d.webp?size=40&quality=lossless,,,,,,,,,,,,,https://store.steampowered.com/app/746850/Cloudpunk/,https://store.steampowered.com/app/746850/Cloudpunk/,,https://store.steampowered.com/app/746850/Cloudpunk/,,,,,,,,,,,,,,,,,,,,,Your name is Rania,. This is your first night working for Cloudpunk,", the semi",-legal delivery company based in the sprawling city of Nivalis,. You go everywhere,", from the Marrow below to the spires that pierce the grey clouds high above before scraping the edge of the troposphere",. No delivery job is too dangerous,", and no one is faster than a Cloudp",.,.,.,,,,Price,$,1,9,0.99,Recommendations,11267,https://images-ext-1.discordapp.net/external/doN-nugHXhgxzmx1udqcXJgylmhjoijeZTssqmyLahM/%3Ft%3D1603817792/https/cdn.akamai.steamstatic.com/steam/apps/256806494/movie_max_vp9.webm,,,,,,,https://store.steampowered.com/,,,,,,,Metacritic,73,,,,,,,,,,,,,,,Cloudpunk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Steam,,"— 
7/19/23, 6:00 PM",—,https://cdn.discordapp.com/avatars/210209230731345920/14cb5f439485c44ad2530d326c70032a.webp?size=160,Einherjar,,Relativly short,", would be one stream",", but for Tech it’d be like two",! It blew my mind,,,,,", and its super fun",.,,,https://store.steampowered.com/app/1382070/Viewfinder/,https://store.steampowered.com/app/1382070/Viewfinder/,,https://store.steampowered.com/app/1382070/Viewfinder/,,,,,,,,,,,,,,,,,,,,,Challenge perception,", redefine reality",", and reshape the world around you with an instant camera",. Viewfinder is a new single player game offering gamers hours of interesting and fun experiences while uncovering the mysteries left behind,.Viewfinder is a mind,-bending first person adventure game in which you can bring pictures to life by placing the,.,.,.,,,,,,Price,$,2,4,0.99,Recommendations,580,https://images-ext-1.discordapp.net/external/NodfqPstwMBQUkpKU0ztNkx8pAdT7ZjV52AIu8KgwTU/%3Ft%3D1679650439/https/cdn.akamai.steamstatic.com/steam/apps/256937530/movie_max_vp9.webm,,,,,,,https://store.steampowered.com/,,,,,,,,,,,,,,,,,,,,,,,Viewfinder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Steam,,"— 
7/20/23, 8:28 AM",—,https://cdn.discordapp.com/avatars/407564150953345024/a_0808299ca87b55b6f7052151a29ea1f6.webp?size=160,ahokipa,,,,,,,,,,,,,,https://store.steampowered.com/app/1457320/Techtonica/,https://store.steampowered.com/app/1457320/Techtonica/,,https://store.steampowered.com/app/1457320/Techtonica/,,,,,,,,,,,,,https://cdn.discordapp.com/avatar-decoration-presets/a_10b9f886b513b77ccdd67c8784f1a496.png?size=240&passthrough=false,,,,,,,,Welcome to the strangely beautiful,", bioluminescent",", and mysterious sub",-surface alien world of Techtonica,. You’ll begin with only the basics for digging,", mining",", and resource production",.Discovering everything in Techtonica demands unique equipment,", power",", and resources",. Build specialized machines to optimize gathering and production as you arm yo,.,.,.,Price,$,2,5,0.49,Recommendations,227,https://images-ext-1.discordapp.net/external/lWJqa5DV3tP8E-1a4fiTjWT6qHUvsR2WAAmphlTbn3U/%3Ft%3D1689712382/https/cdn.akamai.steamstatic.com/steam/apps/256958902/movie_max_vp9.webm,,,,,,,https://store.steampowered.com/,,,,,,,,,,,,,,,,,,,,,,,Techtonica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Steam,,"— 
7/20/23, 10:48 AM",—,https://cdn.discordapp.com/avatars/967069744207396964/a_ffca80283e0c57af8303eb61799f2e73.webp?size=160,korrin,https://cdn.discordapp.com/role-icons/419956543254167572/4aaf2ea5eccaca8e582a8e67e79b2b5d.webp?size=40&quality=lossless,tech,s matchmaking skills are put to the test in this village management game,,,,,,,,,,,https://store.steampowered.com/app/1584940/Lakeburg_Legacies/,https://store.steampowered.com/app/1584940/Lakeburg_Legacies/,,https://store.steampowered.com/app/1584940/Lakeburg_Legacies/,,,,https://cdn.discordapp.com/emojis/757673053089169479.webp?size=96,,,,,,,,,https://cdn.discordapp.com/avatar-decoration-presets/a_33656b7ed12cde00c1826b654cf65590.png?size=240&passthrough=false,,,,,,,,Once upon a time,", there was a charming young peasant looking for a fresh start…Lakeburg Legacies is a social",-based village management sim focused on pairing up your townsfolk to make the most effective,", and most loved up",", couples",. Think you’ve made the perfect match,? Then follow your families generation after generation and watch their lineages,.,.,.,,,,,Price,$,1,9,0.54,,,https://images-ext-1.discordapp.net/external/81Jh-oQrHFnbcCDalj-KkJRbhJelaqNw-b6PngE1TmQ/%3Ft%3D1689864478/https/cdn.akamai.steamstatic.com/steam/apps/256833459/movie_max_vp9.webm,,,,,,,https://store.steampowered.com/,,,,,,,,,,,,,,,,,,,,,,,Lakeburg Legacies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Steam,,"— 
7/20/23, 7:00 PM",—,https://cdn.discordapp.com/avatars/728768373516796005/95d396dfca7ad7f30b101c92f4fc64e8.webp?size=160,Tink,https://cdn.discordapp.com/role-icons/409396029029613569/8597ae2213225c47dcbadebce074c004.webp?size=40&quality=lossless,,,,,,,,,,,,,https://store.steampowered.com/app/1952540/Voltaire_The_Vegan_Vampire/,https://store.steampowered.com/app/1952540/Voltaire_The_Vegan_Vampire/,,https://store.steampowered.com/app/1952540/Voltaire_The_Vegan_Vampire/,,,,,,,,,,,,,,,,,,,,,Voltaire,: The Vegan Vampire is an action,-farming,-roguelite set in Transylvania,", the homeland of Dracula and his rebellious lastborn son",", Voltaire",. An epiphany results in a change of heart for the young vampire,: abandoning blood in favor of a plant,-based diet out of spite to prove to his father that neck,-biting is not the only way for vampires to,.,.,.,,Price,$,1,0,0.04,,,https://images-ext-1.discordapp.net/external/HgwAXpOCbTew9ZvOyvn_OTCzoLkHTkvvjLobvTt3r_E/%3Ft%3D1678913046/https/cdn.akamai.steamstatic.com/steam/apps/256931982/movie_max_vp9.webm,,,,,,,https://store.steampowered.com/,,,,,,,,,,,,,,,,,,,,,,,Voltaire,,,,,,,: The Vegan Vampire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Steam,,"— 
7/22/23, 1:00 AM",—,https://cdn.discordapp.com/avatars/238303065193709569/8cc1e2f5c8e5f9dc32f436d9052cc06a.webp?size=160,Lighthawk,https://cdn.discordapp.com/role-icons/419956543254167572/4aaf2ea5eccaca8e582a8e67e79b2b5d.webp?size=40&quality=lossless,,,,,,,,,,,,,https://store.steampowered.com/app/2093000/Homeseek/,https://store.steampowered.com/app/2093000/Homeseek/,,https://store.steampowered.com/app/2093000/Homeseek/,,,,,,,,,,,,,https://cdn.discordapp.com/avatar-decoration-presets/a_f3af281c65cf0cf590e9e1f59e9c6cf6.png?size=240&passthrough=false,,,,,,,,Overpopulation,", environmental exploitation",", and a complete disregard for nature has resulted in the depletion of drinkable water",", leading to the collapse of civilization as we know it",. It’s up to you to lead a group of survivors to a place where they can rebuild,", but it won’t be easy",. In a dried,-up wasteland where water has become the new gold,",",.,.,.,,,Price,$,2,4,0.99,,,https://images-ext-1.discordapp.net/external/iOCakQnruQhqims82J4MwRzTNA1KzzytAFjAM2k8beM/%3Ft%3D1689837420/https/cdn.akamai.steamstatic.com/steam/apps/256958672/movie_max_vp9.webm,,,,,,,https://store.steampowered.com/,,,,,,,,,,,,,,,,,,,,,,,Homeseek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Steam,,"— 
7/22/23, 2:13 AM",—,https://cdn.discordapp.com/avatars/291752112617160704/a_f97d85509a2709e4ad03b6e0d8d390ec.webp?size=160,.𝙧𝙤𝙧𝙮𝙫𝙖𝙡𝙞𝙣𝙩𝙞𝙣𝙚.,https://cdn.discordapp.com/role-icons/419956543254167572/4aaf2ea5eccaca8e582a8e67e79b2b5d.webp?size=40&quality=lossless,Absolutely give some love to this dev,. it,s free but it,s like under,,,,,$10 to get full map and such,. It,s like 100,% better than Fall Guys,https://store.steampowered.com/app/1590320/Bro_Falls/,https://store.steampowered.com/app/1590320/Bro_Falls/,,https://store.steampowered.com/app/1590320/Bro_Falls/,,,,,,,,,,,,,https://cdn.discordapp.com/avatar-decoration-presets/a_c3c09bd122898be35093d0d59850f627.png?size=240&passthrough=false,,.,,,,,,WIN EVERY ROUND TO BE THE LAST FOOD AND GET THE LEGENDARY CROWN,!Traps,", Falls",", Chaos",.,.,.Brokkoli is angry because nobody chooses him to put in the cart,. His evil master plan is that he catches all of the food and drops them into a showdown trial,. Foods have to go through traps and obstacles to get out of the trial and beat Brokkoli,.BROKKOLI IS ABL,.,.,.,,,,,,,,,https://images-ext-1.discordapp.net/external/D6F2kKTcux4RKzZZGtjshsSgXJX1-9ay4IWwXW9a7GE/%3Ft%3D1623432974/https/cdn.akamai.steamstatic.com/steam/apps/256837761/movie_max_vp9.webm,,,,,,,https://store.steampowered.com/,,,,,,,,,,,,,,,,,,,,,,,Bro Falls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Steam,,"— 
7/24/23, 11:27 AM",—,https://cdn.discordapp.com/avatars/381815775620759552/83277b6d5055c141f74c86d442b8af29.webp?size=160,CupcakePrincess🧁🍰🎂🍭🍮🥮,https://cdn.discordapp.com/role-icons/409396029029613569/8597ae2213225c47dcbadebce074c004.webp?size=40&quality=lossless,They only have the second game available but its still really good,.  This is the description,. Alice,: Madness Returns is a third,,,,,-person,", single",-player,", action adventure platformer",https://store.steampowered.com/app/19680/Alice_Madness_Returns/,https://store.steampowered.com/app/19680/Alice_Madness_Returns/,,https://store.steampowered.com/app/19680/Alice_Madness_Returns/,,,,,(edited),,,,,,,,,,. Visit the grim reality of Victorian London and travel to the beautiful yet ghastly Wonderland to uncover the root of Alice,s madness,.,,,,Одиннадцать лет назад родители Алисы погибли в ужасном пожаре,", что оставило сильнейший отпечаток на душевном состоянии ребенка",. Девочка оказалась в психиатрической лечебнице Ратледж,(Ruthledge,) и боролась с одолевавшими её демонами,", ускользая в мир собственных фантазий — Страну чудес",. За десять лет лечения Алиса достаточно поправилась,", чтобы вып",.,.,.,,,,Price,$,1,9,0.99,Recommendations,11626,https://images-ext-1.discordapp.net/external/Bjz1wPhzKRqdNPqGau8wh5m_6xAwpxg3Wk9Kze17gzk/%3Ft%3D1646073473/https/cdn.akamai.steamstatic.com/steam/apps/256870295/movie_max_vp9.webm,,,,,,,https://store.steampowered.com/,,,,,,,Metacritic,75,,,,,,,,,,,,,,,Alice,,,,,,,: Madness Returns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Steam,,"— 
7/24/23, 2:58 PM",—,https://cdn.discordapp.com/avatars/893158074381140078/faab415607393a7bf7b8129c4b8b0afe.webp?size=160,BUNTA SCRUMP,https://cdn.discordapp.com/role-icons/409396029029613569/8597ae2213225c47dcbadebce074c004.webp?size=40&quality=lossless,,,,,,,,,,,,,https://store.steampowered.com/app/1766100/The_Last_Hero_of_Nostalgaia/,https://store.steampowered.com/app/1766100/The_Last_Hero_of_Nostalgaia/,,https://store.steampowered.com/app/1766100/The_Last_Hero_of_Nostalgaia/,,,,,,,,,,,,,,,,,,,,,The Last Hero of Nostalgaia is a satirical action,-adventure,", driven by a dark story",", set in an incredibly rich and complex world",.Nostalgaia,", the world of videogames",", is collapsing backwards into a mysterious pixelation",", with every particle of fidelity bleeding away",. Oblivion seemingly awaits even our most cherished gaming memories,. But as the l,.,.,.,,Price,$,2,4,0.99,Recommendations,849,https://images-ext-1.discordapp.net/external/4LvGXx49TWl3xlxtN2E6fFPPh_Y1GOTr9_cGT9C-W4U/%3Ft%3D1666198025/https/cdn.akamai.steamstatic.com/steam/apps/256911753/movie_max_vp9.webm,,,,,,,https://store.steampowered.com/,,,,,,,,,,,,,,,,,,,,,,,The Last Hero of Nostalgaia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Steam,,"— 
7/25/23, 12:14 PM",—,https://cdn.discordapp.com/avatars/275469911759781888/c163eac78f64e29a68922523c7cca97a.webp?size=160,NightHawk,https://cdn.discordapp.com/role-icons/409396029029613569/8597ae2213225c47dcbadebce074c004.webp?size=40&quality=lossless,,,,,,,,,,,,,https://store.steampowered.com/app/1119980/In_Sound_Mind/,https://store.steampowered.com/app/1119980/In_Sound_Mind/,,https://store.steampowered.com/app/1119980/In_Sound_Mind/,,,,,,,,,,,,,,,,,,,,,As you awake in the corridors of an inexplicable building,", you find the environment takes on a life of its own and leads you to discover a series of victims",", all exposed to the same experimental chemical",. In your search for answers,", bizarre visions emerge and introduce a host of imposing horrors…and a cat named Tonia",.From the creators of the cul,.,.,.,,,,,,Price,$,3,4,0.99,Recommendations,2415,https://images-ext-1.discordapp.net/external/2xmoGcnKOVQLYQddIefMSOA6F3IZNxTJ6OMCxsmEv7s/%3Ft%3D1635438986/https/cdn.akamai.steamstatic.com/steam/apps/256857960/movie_max_vp9.webm,,,,,,,https://store.steampowered.com/,,,,,,,Metacritic,75,,,,,,,,,,,,,,,In Sound Mind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Steam,,"— 
7/26/23, 10:54 AM",—,https://cdn.discordapp.com/avatars/306263509522448385/ee6abbd1953657f76e29e277a724770e.webp?size=160,Bry0guy,https://cdn.discordapp.com/role-icons/419956543254167572/4aaf2ea5eccaca8e582a8e67e79b2b5d.webp?size=40&quality=lossless,,,,,,,,,,,,,https://store.steampowered.com/app/1302240/Labyrinthine/,https://store.steampowered.com/app/1302240/Labyrinthine/,,https://store.steampowered.com/app/1302240/Labyrinthine/,,,,,,,,,,,,,,,,,,,,,Labyrinthine is a cooperative horror game that may make you never step into a hedge maze again,.,.,.You and up to 3 friends can embark in an online cooperative experience where you can choose to follow in the footsteps of Joan,", a mysterious fairground worker",", as you try to unravel the mystery of the abandoned happisburg hedge maze or tackle procedu",.,.,.,,,,,,Price,$,9,0.99,8264,Recommendations,,https://images-ext-1.discordapp.net/external/bNbJE593M83W7mktZomN6F15GojU24V09v5PcJ5pitY/%3Ft%3D1619196869/https/cdn.akamai.steamstatic.com/steam/apps/256831925/movie_max_vp9.webm,,,,,,,https://store.steampowered.com/,,,,,,,,,,,,,,,,,,,,,,,Labyrinthine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
